Date,Store_ID,Store,Market,Country_ID,Brand,Channel,Home_Delivery_Channel,Digital_Channel,Sales,Sales_LY,Sales_Variance,Transactions,Transactions_LY,Transactions_Variance,Average_Check,Average_Check_LY,Average_Check_Variance,Budget,Budget_LY,Budget_Variance,Budget_Transactions,Budget_Transactions_LY,Budget_Transactions_Variance,Budget_Average_Check,Budget_Average_Check_LY,Budget_Average_Check_Variance
2025-10-13,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,HD,Aggregators,Eat easily,6.48,60.68,-54.2,1,3,-2,6.48,20.23,-13.74,,,,,,,,,
2025-06-14,135110,JUMEIRAH BEACH RESIDENCE,UAE,4,Peets Coffee,HD,Aggregators,NOON FS,42.01,7.78,34.23,3,1,2,14.0,7.78,6.22,,,,,,,,,
2024-03-04,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1370.02,3527.58,-2157.55,102,262,-160,13.43,13.46,-0.03,2693.65,,,211,,,12.77,,
2024-12-23,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,861.87,979.07,-117.2,45,66,-21,19.15,14.83,4.32,1625.36,,,127,,,12.8,,
2025-09-15,135122,MBZ MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,485.39,1345.65,-860.27,45,59,-14,10.79,22.81,-12.02,697.55,,,34,,,20.52,,
2025-07-19,135122,MBZ MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,462.83,782.92,-320.09,34,54,-20,13.61,14.5,-0.89,1285.77,,,56,,,22.96,,
2024-02-26,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Take Out,Aggregators,Others,1759.68,897.29,862.4,172,100,72,10.23,8.97,1.26,699.42,,,72,,,9.71,,
2024-03-04,135104,DUBAI HILLS MALL,UAE,4,Peets Coffee,Take Out,Aggregators,Others,1301.58,962.51,339.06,140,112,28,9.3,8.59,0.7,920.9,,,93,,,9.9,,
2025-09-15,135122,MBZ MALL,UAE,4,Peets Coffee,Take Out,Aggregators,Others,98.64,419.72,-321.08,5,32,-27,19.73,13.12,6.61,349.71,,,24,,,14.57,,
2025-09-21,135106,MIRDIF CITY CENTER,UAE,4,Peets Coffee,Take Out,Aggregators,Others,1187.18,1062.59,124.59,120,85,35,9.89,12.5,-2.61,562.89,,,46,,,12.24,,
2025-10-19,135114,DUBAI MALL KK CO,UAE,4,Peets Coffee,Take Out,Aggregators,Others,642.3,1075.65,-433.35,52,109,-57,12.35,9.87,2.48,565.21,,,58,,,9.75,,
2024-05-09,135103,DUBAI MARINA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,1354.53,,,118,,,11.48,,,1810.87,,,137,,,13.22,,
2024-07-02,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,744.42,,,52,,,14.32,,,1572.86,,,119,,,13.22,,
2025-07-11,135112,ISLE BEACH TOWER,UAE,4,Peets Coffee,Dine In,Non HD,Others,263.97,,,21,,,12.57,,,528.61,,,40,,,13.22,,
2025-02-26,135116,PEETS AL SEEF,UAE,4,Peets Coffee,Dine In,Non HD,Others,578.18,,,43,,,13.45,,,634.74,,,48,,,13.22,,
2024-06-14,135100,CITY WALK,UAE,4,Peets Coffee,Dine In,Non HD,Others,612.13,,,53,,,11.55,,,1758.15,,,133,,,13.22,,
2025-04-16,135107,ARABIAN RANCHES 3,UAE,4,Peets Coffee,Dine In,Non HD,Others,571.93,,,30,,,19.06,,,1268.95,,,96,,,13.22,,
2025-10-06,135133,PEETS DALMA MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,448.35,,,30,,,14.95,,,1057.72,,,80,,,13.22,,
2025-09-09,135123,REEM MALL,UAE,4,Peets Coffee,Dine In,Non HD,Others,30.08,,,6,,,5.01,,,713.62,,,54,,,13.22,,
