Date,Market,Brand,Store_ID,store,Channel,Sales,sales_LY,transactions,transactions_LY,budget,budget_LY,Average_Check,Average_Check_LY,Average_Check_Variance,Transactions_Variance,Sales_Variance,Home_Delivery_Channel_Aggregators_Sales,Home_Delivery_Channel_Americana_Assets_App_Sales,Home_Delivery_Channel_Americana_Assets_Web_Sales,Home_Delivery_Channel_Call_Center_Sales,Transactions_1,Home_Delivery_Channel_Aggregators_Transactions,Home_Delivery_Channel_Americana_Assets_App_Transactions,Home_Delivery_Channel_Americana_Assets_Web_Transactions,Home_Delivery_Channel_Call_Center_Transactions,Digital_Channel_App_HD_sales,Digital_Channel_App_Pickup_sales,Digital_Channel_Careem_sales,Digital_Channel_Chefz_sales,Digital_Channel_Chocofood_sales,Digital_Channel_ContactCenter_sales,Digital_Channel_Deliveroo_sales,Digital_Channel_Eat_easily_sales,Digital_Channel_Elmenus_sales,Digital_Channel_HungerStation_sales,Digital_Channel_Jahez_sales,Digital_Channel_Keeta_sales,Digital_Channel_Kiosk_sales,Digital_Channel_Mrsool_sales,Digital_Channel_Ninja_sales,Digital_Channel_Noon_sales,Digital_Channel_Others_sales,Digital_Channel_RAFEEQ_sales,Digital_Channel_Snoonu_sales,Digital_Channel_Talabat_sales,Digital_Channel_TMDONE_sales,Digital_Channel_ToYou_sales,Digital_Channel_Web_sales,Digital_Channel_Wolt_sales,Digital_Channel_Yandex_sales,Digital_Channel_Zomato_sales,Digital_Channel_App_HD_Transactions,Digital_Channel_App_Pickup_Transactions,Digital_Channel_Careem_Transactions,Digital_Channel_Chefz_Transactions,Digital_Channel_Chocofood_Transactions,Digital_Channel_ContactCenter_Transactions,Digital_Channel_Deliveroo_Transactions,Digital_Channel_EatEasily_Transactions,Digital_Channel_Elmenus_Transactions,Digital_Channel_HungerStation_Transactions,Digital_Channel_Jahez_Transactions,Digital_Channel_Keeta_Transactions,Digital_Channel_Kiosk_Transactions,Digital_Channel_Mrsool_Transactions,Digital_Channel_Ninja_Transactions,Digital_Channel_Noon_Transactions,Digital_Channel_Others_Transactions,Digital_Channel_RAFEEQ_Transactions,Digital_Channel_Snoonu_Transactions,Digital_Channel_Talabat_Transactions,Digital_Channel_TMDONE_Transactions,Digital_Channel_ToYou_Transactions,Digital_Channel_Web_Transactions,Digital_Channel_Wolt_Transactions,Digital_Channel_Yandex_Transactions,Digital_Channel_Zomato_Transactions,month_index,month_date,Event_Index,Sales_z,Sales_LY_z,Transactions_z,Transactions_LY_z,Average_Check_z,Average_Check_LY_z,Budget_z,Budget_LY_z,Sales_std,Sales_LY_std,Transactions_std,Transactions_LY_std,Average_Check_std,Average_Check_LY_std,Sales_std_1,Sales_LY_std_1,Transactions_std_1,Transactions_LY_std_1,Average_Check_std_1,Average_Check_LY_std_1,Budget_std,Budget_LY_std,Average_Check_Variance_z,Transactions_Variance_z,Sales_Variance_z,Sales_rolling_mean,Sales_LY_rolling_mean,Transactions_rolling_mean,Transactions_LY_rolling_mean,Average_Check_rolling_mean,Average_Check_LY_rolling_mean
2024-09-14,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Dine In,738.46,,49,,,,15.07,,,,,0.0,0.0,0.0,0.0,49,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0.6358759109399562,2024-09-01,0.6358759109399563,-1.158052342219062,,-1.2617526822853933,,0.6302204059788589,,,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,,,,,,738.46,,49.0,,15.07,
2024-09-14,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Take Out,1593.17,,114,,,,13.98,,,,,1593.17,0.0,0.0,0.0,114,114,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,1.1218406121813636,2024-09-01,1.1218406121813636,0.96031695553872,,0.3400008415100731,,1.8722090784915322,,,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,,,,,,1165.815,,81.5,,14.525,
2024-09-15,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Take Out,1198.51,,96,,,,12.48,,,,,1198.51,0.0,0.0,0.0,96,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,1.1218406121813636,2024-09-01,1.1218406121813636,0.3840519359654851,,0.0650750317401529,,1.0998206530616617,,,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,,,,,,1176.7133333333334,,86.33333333333333,,13.843333333333334,
2024-09-15,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Dine In,553.67,,38,,,,14.57,,,,,0.0,0.0,0.0,0.0,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0.6358759109399562,2024-09-01,0.6358759109399563,-1.3499958010538846,,-1.422046860281547,,0.39755821554499454,,,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,,,,,,1020.9525000000001,,74.25,,14.025,
2024-09-16,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Dine In,335.57,,30,,,,11.19,,,,,0.0,0.0,0.0,0.0,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0.6358759109399562,2024-09-01,0.6358759109399563,-1.5765387328785228,,-1.5386244442787496,,-1.1752381917879284,,,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,,,,,,883.876,,65.4,,13.458000000000002,
2024-09-16,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Take Out,457.87,,38,,,,12.05,,,,,457.87,0.0,0.0,0.0,38,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,1.1218406121813636,2024-09-01,1.1218406121813636,-0.6973977272806523,,-0.8207970219629233,,0.8784026377717656,,,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,,,,,,812.875,,60.833333333333336,,13.223333333333334,
2024-09-17,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Dine In,618.71,,51,,,,12.13,,,,,0.0,0.0,0.0,0.0,51,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0.6358759109399562,2024-09-01,0.6358759109399563,-1.2824380189086557,,-1.2326082862860928,,-0.7378332737722629,,,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,,,,,,785.1371428571429,,59.42857142857143,,13.067142857142857,
2024-09-17,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Take Out,408.57,,36,,,,11.35,,,,,408.57,0.0,0.0,0.0,36,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1.1218406121813636,2024-09-01,1.1218406121813636,-0.7693833996694438,,-0.8513443341595811,,0.5179547059044922,,,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,,,,,,738.0100000000001,,57.57142857142857,,12.535714285714283,
2024-09-18,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Take Out,364.36,,35,,,,10.41,,,,,364.36,0.0,0.0,0.0,35,35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1.1218406121813636,2024-09-01,1.1218406121813636,-0.8339368799191086,,-0.86661799025791,,0.03392462596844026,,,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,391.5997002032918,,28.631291711201285,,1.3163441562586369,,,,,,,562.4657142857143,,46.285714285714285,,12.025714285714287,
2024-09-18,UAE,Peets Coffee,135106,MIRDIF CITY CENTER,Dine In,509.58,,42,,,,12.13,,,,,0.0,0.0,0.0,0.0,42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0.6358759109399562,2024-09-01,0.6358759109399563,-1.3957925817239825,,-1.3637580682829458,,-0.7378332737722629,,,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,386.2774760189685,,26.640240654793807,,1.4605710595753993,,,,,,,464.0471428571429,,38.57142857142857,,11.975714285714286,
